2026-06-16 11:21:20,593 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
2026-06-16 11:21:20,605 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SDE_ORA_PBCS_Actual_Proforma.XML
2026-06-16 11:21:20,616 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SDE_ORA_PBCS_Actual_SM.XML
2026-06-16 11:21:20,627 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML
2026-06-16 11:21:20,666 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML
2026-06-16 11:21:20,693 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML
2026-06-16 11:21:20,707 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML
2026-06-16 11:21:20,789 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SDE_EmployeeHeadCount.XML
2026-06-16 11:21:20,937 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SDE_ORA_EmployeeDimension.XML
2026-06-16 11:21:21,164 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SDE_ORA_ProjectCostLine.XML
2026-06-16 11:21:21,343 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SIL_EmployeeDimension.XML
2026-06-16 11:21:21,413 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SIL_EmployeeDimension_SCDUpdate.XML
2026-06-16 11:21:21,471 | INFO | pc_iics_migration | xml_parser.parse_folder:56 | Parsed metadata from SIL_EmployeeHeadCount.XML
