"XML","Workflow","Session","Mapping","Source","Target","Transformations"
"JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML","1","1","1","1","1","2"
"JEG_SDE_ORA_PBCS_Actual_Proforma.XML","1","1","1","1","1","2"
"JEG_SDE_ORA_PBCS_Actual_SM.XML","1","1","1","1","1","2"
"JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML","1","1","1","2","1","2"
"JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML","1","1","1","1","1","2"
"JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML","1","1","1","1","1","6"
"JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML","1","1","1","2","1","2"
"SDE_EmployeeHeadCount.XML","1","3","3","2","2","43"
"SDE_ORA_EmployeeDimension.XML","1","1","1","7","1","2"
"SDE_ORA_ProjectCostLine.XML","1","11","8","18","2","15"
"SIL_EmployeeDimension.XML","1","1","1","2","1","6"
"SIL_EmployeeDimension_SCDUpdate.XML","1","1","1","1","1","4"
"SIL_EmployeeHeadCount.XML","1","0","1","1","1","10"
"SIL_ProjectCostLine_Fact.XML","1","1","1","19","1","7"
