column_id,asset_id,table_name,table_type,column_name,datatype,precision,scale,repository_name,folder_name,source_file
COL_a4fdd1b20904e0d5,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,EcoSysTimephasedBudgetId,int,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_9786a089e8cca180,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,ProjectNumber,varchar,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_efc9ea89f8313d46,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,ProjectPeriod,varchar,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_c00fb681e60daae0,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,WorkflowInstanceId,int,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_762b0cee6e2df939,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,BudgetHeaderId,varchar,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_b761b9fd602fc0e7,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,ChangeHeaderId,varchar,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_92d7cb962dde897b,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,CostAccountField,varchar,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_27cdb7eb2a99cb7b,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,PathId,varchar,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_b1488597fc05be9f,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,MinorPeriod,varchar,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_df7fee7d703dbaaf,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,JacobsCost,decimal,15,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_1c454574e430d515,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,ClientCost,decimal,15,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_2f10578f8a4d66c2,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,JacobsHours,decimal,13,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_cdf973e318e4c5e1,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,ClientHours,decimal,13,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_cf662523c6f9630c,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,Currency,varchar,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_60812406558487ce,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,gidquantity,decimal,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_b57f30c2a1206324,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,GDCName,varchar,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_5b87d5da393c364e,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,GIDCBDirectCost,decimal,13,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_68576c63a0b211e2,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,GIDCBAtBillRevenue,decimal,13,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_5f20ffa2fe411920,AST_fffbbc50b201ccac,BI_TimephasedData_Budget,SOURCE,GIDBillableHours,decimal,13,2,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_61569b06f747dde1,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,ECOSYS_TIMEPHASED_BUDGETID,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_67f6d877a42b5590,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,PROJECT_NUMBER,varchar2,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_6f1b685e7fabcd09,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,PROJECT_PERIOD,varchar2,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_938431c36ba7ee32,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,WORKFLOW_INSTANCE_ID,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_05635ba4de89f782,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,BUDGET_HEADER_ID,varchar2,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_0ba48505f0787730,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,CHANGE_HEADER_ID,varchar2,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_138d77955a7246ae,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,COST_ACCOUNT_FIELD,varchar2,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_5edbcebefd3b8982,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,PATH_ID,varchar2,100,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_393eca07786bfe0a,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,MINOR_PERIOD,varchar2,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_b9d92a3ac77cab7a,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,JACOBS_COST,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_7c5ef735676f8345,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,CLIENT_COST,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_dea26ef03f0d99ed,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,JACOBS_HOURS,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_992aa5802b20d5b5,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,CLIENT_HOURS,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_33c538c098078e3e,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,CURRENCY,varchar2,10,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_c9d68a61afed6c0c,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,AUX1_CHANGED_ON_DT,date,19,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_dc92935cb04da5e0,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,AUX2_CHANGED_ON_DT,date,19,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_49357ac985b1d854,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,AUX3_CHANGED_ON_DT,date,19,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_da28887c51e2c50c,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,AUX4_CHANGED_ON_DT,date,19,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_bb2c42f480c5f18b,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,DATASOURCE_NUM_ID,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_24535aee60e2c5de,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,INTEGRATION_ID,varchar2,80,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_5be869d4bc47b6f4,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,TENANT_ID,varchar2,80,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
COL_d4f8f72f8bdec65f,AST_5376dd3e040da878,WC_BI_TIMEPHASEDATA_BUDGET_FS,TARGET,GID_EAC_HOURS,number,15,0,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML
