connector_id,mapping_id,mapping_name,from_instance,from_field,to_instance,to_field,from_instance_type,to_instance_type
CONN_fa01eb3cd3137913,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,EcoSysTimephasedBudgetId,WC_BI_TIMEPHASEDATA_BUDGET_FS,ECOSYS_TIMEPHASED_BUDGETID,Expression,Target Definition
CONN_c19441a87151ed00,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,ProjectNumber,WC_BI_TIMEPHASEDATA_BUDGET_FS,PROJECT_NUMBER,Expression,Target Definition
CONN_5e1de18ea4ce6583,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,ProjectPeriod,WC_BI_TIMEPHASEDATA_BUDGET_FS,PROJECT_PERIOD,Expression,Target Definition
CONN_a2921d4664e5f01c,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,WorkflowInstanceId,WC_BI_TIMEPHASEDATA_BUDGET_FS,WORKFLOW_INSTANCE_ID,Expression,Target Definition
CONN_13a3d1cf46ef99b6,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,BudgetHeaderId,WC_BI_TIMEPHASEDATA_BUDGET_FS,BUDGET_HEADER_ID,Expression,Target Definition
CONN_ee373a407b27f69a,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,ChangeHeaderId,WC_BI_TIMEPHASEDATA_BUDGET_FS,CHANGE_HEADER_ID,Expression,Target Definition
CONN_92a98c8d90e7eb4b,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,CostAccountField,WC_BI_TIMEPHASEDATA_BUDGET_FS,COST_ACCOUNT_FIELD,Expression,Target Definition
CONN_5367fc1746380790,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,PathId,WC_BI_TIMEPHASEDATA_BUDGET_FS,PATH_ID,Expression,Target Definition
CONN_63656107ca334769,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,MinorPeriod,WC_BI_TIMEPHASEDATA_BUDGET_FS,MINOR_PERIOD,Expression,Target Definition
CONN_4c216c9638ae4ca7,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,JacobsCost,WC_BI_TIMEPHASEDATA_BUDGET_FS,JACOBS_COST,Expression,Target Definition
