mapping_id,mapping_name,repository_name,folder_name,source_file,sources,targets,transformation_count,connector_count,sql_override_count,complexity
AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BI_TimephasedData_Budget,WC_BI_TIMEPHASEDATA_BUDGET_FS,2,61,2,MEDIUM
AST_9a7117b3cab6de96,JEG_SDE_ORA_PBCS_Actual_Proforma,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,WC_PBCS_EXEC_ACTUALS_P_FS,WC_PBCS_ACTUALS_P_FS,2,30,2,MEDIUM
AST_d6e4591fa357acf8,JEG_SDE_ORA_PBCS_Actual_SM,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM.XML,WC_PBCS_EXEC_ACTUALS_SM_FS,WC_PBCS_ACTUALS_MS_FS,2,30,1,LOW
AST_9373b4f41bdebd10,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,WC_ACCOUNT_DH|WC_PBCS_ACTUALS_P_FS,WC_PBCS_BUDGET_ACTUALS_FS,2,24,2,MEDIUM
AST_8291d36b670fc956,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,ProjectReview_Submitted,WC_BI_POL_PROJ_REV_SUB_DS,2,399,0,MEDIUM
AST_4119cec087cd3f77,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,WC_BI_TIMEPHASEDATA_BUDGET_FS,WC_BI_TIMEPHASEDATA_BUDGET_F,6,226,2,HIGH
AST_56d3aa51e47b2893,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,WC_ACCOUNT_DH|WC_PBCS_BUDGET_ACTUALS_FS,WC_PBCS_BUDGET_ACTUALS_F,2,45,1,LOW
AST_ca0ba25145b4deea,SDE_EmployeeHeadCount2,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount.XML,W_DAY_D,WC_WRKFC_HEADCNT_FS,20,175,2,HIGH
AST_04508795b5c6c80e,JEG_SDE_ORA_TRUNCATE_DIM,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount.XML,AP_INVOICES_ALL,W_DUAL_D,1,2,2,LOW
AST_91f937e85d220e76,SDE_EmployeeHeadCount1,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount.XML,W_DAY_D,WC_WRKFC_HEADCNT_FS,22,240,2,HIGH
AST_0836e3601ffd0e5a,SDE_ORA_EmployeeDimension,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension.XML,,W_EMPLOYEE_DS,2,711,1,HIGH
AST_5aa684f92818cf15,JEG_SDE_ORA_ProjectCostLineFact_Elim,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,,W_PROJ_COST_LINE_FS,2,217,2,MEDIUM
AST_871cd27880ef4b52,JEG_SDE_ORA_TRUNCATE_DIM,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,AP_INVOICES_ALL,W_DUAL_D,1,2,2,LOW
AST_fe74445209a7bef0,SDE_ORA_ProjectCostLineFact,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,,W_PROJ_COST_LINE_FS,2,259,2,HIGH
AST_2045cc8ea73a5220,JEG_SDE_ORA_ProjectCostLineFact_NL,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,,W_PROJ_COST_LINE_FS,2,237,1,MEDIUM
AST_fb821bfbd660a2c7,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,,W_PROJ_COST_LINE_FS,2,213,1,MEDIUM
AST_69d8787a9e09ba27,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine.XML,,W_PROJ_COST_LINE_FS,2,217,1,MEDIUM
