sql_override_id,mapping_id,mapping_name,context_type,context_name,sql_query
SQL_3307b125eccb67da,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,TRANSFORMATION,SQ_BI_TimephasedData_Budget,"SELECT
    bi_timephaseddata_budget.ecosystimephasedbudgetid,
    bi_timephaseddata_budget.projectnumber,
    bi_timephaseddata_budget.projectperiod,
    bi_timephaseddata_budget.workflowinstanceid,
    bi_timephaseddata_budget.budgetheaderid,
    bi_timephaseddata_budget.changeheaderid,
    bi_timephaseddata_budget.costaccountfield,
    bi_timephaseddata_budget.pathid,
    bi_timephaseddata_budget.minorperiod,
    bi_timephaseddata_budget.jacobscost,
    bi_timephaseddata_budget.clientcost,
    bi_timephaseddata_budget.jacobshours,
    bi_timephaseddata_budget.clienthours,
    bi_timephaseddata_budget.currency,
	concat(projectnumber,'~', projectperiod, '~',minorPeriod , '~',EcoSysTimephasedBudgetId ),
    bi_timephaseddata_budget.gidquantity,
    bi_timephaseddata_budget..GDCName
FROM
    bi_timephaseddata_budget
where  workflowinstanceid in (
select distinct workflowinstanceid
from BI_TimephasedData_Queue)"
SQL_0759c7255deed2d7,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,SESSION,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,"SELECT
    bi_timephaseddata_budget.ecosystimephasedbudgetid,
    bi_timephaseddata_budget.projectnumber,
    bi_timephaseddata_budget.projectperiod,
    bi_timephaseddata_budget.workflowinstanceid+1000000 as workflowinstanceid,
    bi_timephaseddata_budget.budgetheaderid,
    bi_timephaseddata_budget.changeheaderid,
    bi_timephaseddata_budget.costaccountfield,
    bi_timephaseddata_budget.pathid,
    bi_timephaseddata_budget.minorperiod,
    bi_timephaseddata_budget.jacobscost,
    bi_timephaseddata_budget.clientcost,
    bi_timephaseddata_budget.jacobshours,
    bi_timephaseddata_budget.clienthours,
    bi_timephaseddata_budget.currency,
	concat(bi_timephaseddata_budget.projectnumber,'~', bi_timephaseddata_budget.projectperiod, '~',bi_timephaseddata_budget.minorPeriod , '~',bi_timephaseddata_budget.EcoSysTimephasedBudgetId ),
	bi_timephaseddata_budget.gidquantity,
	bi_timephaseddata_budget.GDCName,
	bi_timephaseddata_budget.GIDCBDirectCost,
	bi_timephaseddata_budget.GIDCBAtBillRevenue,
	bi_timephaseddata_budget.GIDBillableHours
FROM
    bi_timephaseddata_budget
--where  workflowinstanceid in ( 695,702)
--select workflowinstanceid
--from BI_TimephasedData_Queue where enddate>=convert(datetime,'$$LAST_EXTRACT_DATE',121))
inner join
	(select distinct projectnumber, workflowinstanceid
from BI_TimephasedData_Queue
where  editeddate > convert(datetime,'$$LAST_EXTRACT_DATE',121) --'10/13/2020'
and workflowinstanceid is not null) new_data
on bi_timephaseddata_budget.projectnumber = new_data.projectnumber
and bi_timephaseddata_budget.workflowinstanceid = new_data.workflowinstanceid
and bi_timephaseddata_budget.workflowinstanceid is not null and bi_timephaseddata_budget.workflowinstanceid > 0"
SQL_b53b11102084e8f7,AST_9a7117b3cab6de96,JEG_SDE_ORA_PBCS_Actual_Proforma,TRANSFORMATION,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,"Select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'Proforma_View' audittrail, amount

from WC_PBCS_EXEC_PLAN_P_FS

UNION ALL

Select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'PF_Other View' audittrail, amount

from WC_PBCS_EXEC_PLAN_P_OTH_FS"
SQL_ee8a7930fa450d7c,AST_9a7117b3cab6de96,JEG_SDE_ORA_PBCS_Actual_Proforma,SESSION,JEG_SDE_ORA_PBCS_Actual_Proforma,"Select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'Proforma_View' audittrail, amount

from WC_PBCS_EXEC_ACTUALS_P_FS

UNION ALL

Select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'PF_Other View' audittrail, amount

from WC_PBCS_EXEC_ACTUALS_P_OTH_FS"
SQL_0884bd04a9806df6,AST_d6e4591fa357acf8,JEG_SDE_ORA_PBCS_Actual_SM,SESSION,JEG_SDE_ORA_PBCS_Actual_SM,"select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'Statutory_View' audittrail, amount from WC_PBCS_EXEC_ACTUALS_SM_FS

where audittrail like 'OPS_%' and audittrail not like 'OPS_LG%'

UNION ALL

select scenario, year, period, Entity legal_entity, PU performance_unit, currency, account, 'No Project' project, 'Management_View' audittrail, amount from WC_PBCS_EXEC_ACTUALS_SM_FS

where audittrail not like 'OPS_%' and audittrail not like '%DiscOps%' and audittrail not like 'MGMT_LG_LEDGER_AHFS'"
SQL_10e31efbf3148f4f,AST_9373b4f41bdebd10,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,TRANSFORMATION,SQ_WC_PBCS_ACTUALS_P_FS,"select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_actuals_MS_fs where AUDITTRAIL='Management_View'

UNION ALL

select SCENARIO, concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD, LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_actuals_MS_fs where AUDITTRAIL='Statutory_View'

UNION ALL

select SCENARIO, PERIOD,LEGAL_ENTITY ,PERFORMANCE_UNIT,CURRENCY,ACCOUNT,AUDITTRAIL, sum(AMOUNT) as AMOUNT 
FROM((select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,'Proforma_View' as AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_actuals_MS_fs where AUDITTRAIL='Management_View') 
UNION ALL 
(select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,'Proforma_View' as AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_actuals_p_fs )) 
group by SCENARIO,PERIOD,LEGAL_ENTITY ,PERFORMANCE_UNIT,CURRENCY,ACCOUNT,AUDITTRAIL

UNION ALL 

select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_plan_MS_fs where AUDITTRAIL='Management_View'

UNION ALL

select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_plan_MS_fs where AUDITTRAIL='Statutory_View'

UNION ALL

select SCENARIO,PERIOD,LEGAL_ENTITY ,PERFORMANCE_UNIT,CURRENCY,ACCOUNT,AUDITTRAIL, sum(AMOUNT) as AMOUNT 
FROM((select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,'Proforma_View' as AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_plan_MS_fs where AUDITTRAIL='Management_View') 
UNION ALL 
(select SCENARIO,concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD,LEGAL_ENTITY ,substr(PERFORMANCE_UNIT,4) PERFORMANCE_UNIT,CURRENCY,(case when substr(ACCOUNT,1,3) ='AC_' THEN substr(ACCOUNT,4) ELSE ACCOUNT END) ACCOUNT,'Proforma_View' as AUDITTRAIL,to_number(substr(AMOUNT,1,(instr(AMOUNT, chr(13))-1))) as AMOUNT 
FROM wc_pbcs_plan_p_fs )) 
group by SCENARIO,PERIOD,LEGAL_ENTITY ,PERFORMANCE_UNIT,CURRENCY,ACCOUNT,AUDITTRAIL"
SQL_2b130079ef11e712,AST_9373b4f41bdebd10,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SESSION,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,"select * from WC_PBCS_ACTUALS_PS where PERIOD in (
select distinct PERIOD FROM(
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_actuals_MS_fs
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD from wc_pbcs_actuals_p_fs 
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_plan_MS_fs
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_plan_p_fs
)
)

UNION ALL

select * from WC_PBCS_PLAN_PS where PERIOD in (
select distinct PERIOD FROM(
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_actuals_MS_fs
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD from wc_pbcs_actuals_p_fs 
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_plan_MS_fs
UNION
select concat(concat(upper(period),'-FY20'),substr(YEAR,3)) PERIOD  from wc_pbcs_plan_p_fs
)
)"
SQL_4c28d1a8a1671d0a,AST_4119cec087cd3f77,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,TRANSFORMATION,SQ_WC_BI_TIMEPHASEDATA_BUDGET_FS,"SELECT    FS.ecosys_timephased_budgetid,
    FS.project_number,
    FS.project_period,
    FS.workflow_instance_id,
    FS.budget_header_id,
    FS.change_header_id,
    FS.cost_account_field,
    FS.path_id,
    FS.minor_period,
    FS.jacobs_cost,
    FS.client_cost,
    FS.jacobs_hours,
    FS.client_hours,
    FS.currency,
    FS.aux1_changed_on_dt,
    FS.aux2_changed_on_dt,
    FS.aux3_changed_on_dt,
    FS.aux4_changed_on_dt,
    FS.datasource_num_id,
    FS.integration_id,
    FS.tenant_id,
	NVL(PROJ_D.ROW_WID,0),
NVL(MCAL_D.ROW_WID,0),
/*case when TO_number(substr(FS.MINOR_PERIOD,-2)) > 21 then 101220211001000 
when UPPER(FS.minor_period) in ('OCT-21','NOV-21','DEC-21') then 101220211001000 
else nvl(MINOR_MCAL_D.ROW_WID,0) end ,  */
NVL(MINOR_MCAL_D.ROW_WID,0),
NVL(ORG_DH.ROW_WID,0),
MCAL_D.MCAL_PERIOD_END_DT,
NVL(BUD_WID.ROW_WID,0),
NVL(COBS.ROW_WID,0),
FS.GID_EAC_HOURS,
NVL(REPLACE(FS.GDCName, ' ', 'Undefined'), 'Undefined') GDCName,
FS.GID_CB_FUNC_DIRECTCOST,
FS.GID_CB_FUNC_ATBILLREVENUE
FROM
    wc_bi_timephasedata_budget_fs FS,
	W_PROJECT_D PROJ_D,
W_MCAL_PERIOD_D MCAL_D,
W_MCAL_PERIOD_D MINOR_MCAL_D,
WC_BU_ORG_DH ORG_DH,
(
select max(NVL(W_TASK_D.ROW_WID,0)) as ROW_WID ,COBS.PROJECT_NUMBER,COBS.PATH_ID ,COBS.PROJECT_PERIOD ,COBS.WORKFLOW_INSTANCE_ID 
FROM W_TASK_D,
WC_BI_TIMEPHASEDATA_COBS_D COBS,
W_PROJECT_D PROJ_D WHERE 
COBS.PROJECT_NUMBER = PROJ_D.PROJECT_NUMBER  
AND COBS.ORACLE_TASK_NUMBER = W_TASK_D.TASK_NUMBER
AND PROJ_D.INTEGRATION_ID = W_TASK_D.PROJECT_ID 
AND PROJ_D.DATASOURCE_NUM_ID = W_TASK_D.DATASOURCE_NUM_ID 
AND PROJ_D.DATASOURCE_NUM_ID(+) = 13
group by COBS.PROJECT_NUMBER,COBS.PATH_ID ,COBS.PROJECT_PERIOD ,COBS.WORKFLOW_INSTANCE_ID)COBS,
(
select max(NVL(BUD_WID.ROW_WID,0)) as ROW_WID ,BUD_WID.WORKFLOW_INSTANCE_ID ,BUD_WID.PROJECT_NUMBER ,BUD_WID.TASK_ID
from WC_BI_TIMEPHASEDATA_BDG_HDR_D BUD_WID 
group by BUD_WID.WORKFLOW_INSTANCE_ID ,BUD_WID.PROJECT_NUMBER ,BUD_WID.TASK_ID)BUD_WID
--,WC_BI_COMPLIANCE_COMPLIANT_A COMP_AGG
WHERE 
FS.PROJECT_NUMBER  = PROJ_D.PROJECT_NUMBER (+) 
AND PROJ_D.DATASOURCE_NUM_ID(+) = 13
AND TO_CHAR(TO_date(concat(FS.PROJECT_PERIOD,'-01'),'YYYY-MM-DD'),'MON-YY')= TO_CHAR(MCAL_D.MCAL_PERIOD_END_DT (+) -10,'MON-YY')
AND MCAL_D.MCAL_CAL_WID (+)  = 1012 AND UPPER(MCAL_D.MCAL_PERIOD_TYPE (+) ) = 'MONTH'
AND TO_CHAR(TO_date(concat(FS.MINOR_PERIOD,'-01'),'YYYY-MM-DD'),'MON-YY')= TO_CHAR(MINOR_MCAL_D.MCAL_PERIOD_END_DT (+) -10,'MON-YY')  
AND MINOR_MCAL_D.MCAL_CAL_WID (+)  = 1012 AND UPPER(MINOR_MCAL_D.MCAL_PERIOD_TYPE (+) ) = 'MONTH'
AND PROJ_D.X_CONTROL_PU = ORG_DH.INTEGRATION_ID  (+)
AND PROJ_D.DATASOURCE_NUM_ID = ORG_DH.DATASOURCE_NUM_ID (+)
AND (NVL(FS.CHANGE_HEADER_ID,FS.BUDGET_HEADER_ID) = (substr(BUD_WID.PROJECt_NUMBER(+),1,6)||'.'||BUD_WID.TASK_ID(+))  )
AND FS.PROJECT_NUMBER = BUD_WID.PROJECT_NUMBER  (+)
AND FS.WORKFLOW_INSTANCE_ID = BUD_WID.WORKFLOW_INSTANCE_ID  (+)
AND FS.PROJECT_NUMBER = COBS.PROJECT_NUMBER (+) 
AND FS.PATH_ID = COBS.PATH_ID (+) 
AND FS.PROJECT_PERIOD = COBS.PROJECT_PERIOD (+) 
AND FS.WORKFLOW_INSTANCE_ID = COBS.WORKFLOW_INSTANCE_ID (+)
--AND FS.WORKFLOW_INSTANCE_ID = COMP_AGG.WORKFLOW_INSTANCE_ID 
--AND FS.DATASOURCE_NUM_ID = COMP_AGG.DATASOURCE_NUM_ID
--and FS.PROJECT_NUMBER = COMP_AGG.PROJECT_NUMBER"
SQL_dfcf2c8913c490e5,AST_4119cec087cd3f77,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,SESSION,JEG_SIL_IPCS_BITimephaseDataBudgetFact,"SELECT    FS.ecosys_timephased_budgetid,
    FS.project_number,
    FS.project_period,
    FS.workflow_instance_id,
    FS.budget_header_id,
    FS.change_header_id,
    FS.cost_account_field,
    FS.path_id,
    FS.minor_period,
    FS.jacobs_cost,
    FS.client_cost,
    FS.jacobs_hours,
    FS.client_hours,
    FS.currency,
    FS.aux1_changed_on_dt,
    FS.aux2_changed_on_dt,
    FS.aux3_changed_on_dt,
    FS.aux4_changed_on_dt,
    FS.datasource_num_id,
    FS.integration_id,
    FS.tenant_id,
	NVL(PROJ_D.ROW_WID,0),
NVL(MCAL_D.ROW_WID,0),
/*case when TO_number(substr(FS.MINOR_PERIOD,-2)) > 21 then 101220211001000 
when UPPER(FS.minor_period) in ('OCT-21','NOV-21','DEC-21') then 101220211001000 
else nvl(MINOR_MCAL_D.ROW_WID,0) end ,  */
NVL(MINOR_MCAL_D.ROW_WID,0),
NVL(ORG_DH.ROW_WID,0),
MCAL_D.MCAL_PERIOD_END_DT,
NVL(BUD_WID.ROW_WID,0),
NVL(COBS.ROW_WID,0),
FS.GID_EAC_HOURS,
NVL(REPLACE(FS.GDCName, ' ', 'Undefined'), 'Undefined') GDCName,
FS.GID_CB_FUNC_DIRECTCOST,
FS.GID_CB_FUNC_ATBILLREVENUE,
FS.GID_Billable_Hours
FROM
    wc_bi_timephasedata_budget_fs FS,
	W_PROJECT_D PROJ_D,
W_MCAL_PERIOD_D MCAL_D,
W_MCAL_PERIOD_D MINOR_MCAL_D,
WC_BU_ORG_DH ORG_DH,
(
select max(NVL(W_TASK_D.ROW_WID,0)) as ROW_WID ,COBS.PROJECT_NUMBER,COBS.PATH_ID ,COBS.PROJECT_PERIOD ,COBS.WORKFLOW_INSTANCE_ID 
FROM W_TASK_D,
WC_BI_TIMEPHASEDATA_COBS_D COBS,
W_PROJECT_D PROJ_D WHERE 
COBS.PROJECT_NUMBER = PROJ_D.PROJECT_NUMBER  
AND COBS.ORACLE_TASK_NUMBER = W_TASK_D.TASK_NUMBER
AND PROJ_D.INTEGRATION_ID = W_TASK_D.PROJECT_ID 
AND PROJ_D.DATASOURCE_NUM_ID = W_TASK_D.DATASOURCE_NUM_ID 
AND PROJ_D.DATASOURCE_NUM_ID(+) = 13
group by COBS.PROJECT_NUMBER,COBS.PATH_ID ,COBS.PROJECT_PERIOD ,COBS.WORKFLOW_INSTANCE_ID)COBS,
(
select max(NVL(BUD_WID.ROW_WID,0)) as ROW_WID ,BUD_WID.WORKFLOW_INSTANCE_ID ,BUD_WID.PROJECT_NUMBER ,BUD_WID.TASK_ID
from WC_BI_TIMEPHASEDATA_BDG_HDR_D BUD_WID 
group by BUD_WID.WORKFLOW_INSTANCE_ID ,BUD_WID.PROJECT_NUMBER ,BUD_WID.TASK_ID)BUD_WID
--,WC_BI_COMPLIANCE_COMPLIANT_A COMP_AGG
WHERE 
FS.PROJECT_NUMBER  = PROJ_D.PROJECT_NUMBER (+) 
AND PROJ_D.DATASOURCE_NUM_ID(+) = 13
AND TO_CHAR(TO_date(concat(FS.PROJECT_PERIOD,'-01'),'YYYY-MM-DD'),'MON-YY')= TO_CHAR(MCAL_D.MCAL_PERIOD_END_DT (+) -10,'MON-YY')
AND MCAL_D.MCAL_CAL_WID (+)  = 1012 AND UPPER(MCAL_D.MCAL_PERIOD_TYPE (+) ) = 'MONTH'
AND TO_CHAR(TO_date(concat(FS.MINOR_PERIOD,'-01'),'YYYY-MM-DD'),'MON-YY')= TO_CHAR(MINOR_MCAL_D.MCAL_PERIOD_END_DT (+) -10,'MON-YY')  
AND MINOR_MCAL_D.MCAL_CAL_WID (+)  = 1012 AND UPPER(MINOR_MCAL_D.MCAL_PERIOD_TYPE (+) ) = 'MONTH'
AND PROJ_D.X_CONTROL_PU = ORG_DH.INTEGRATION_ID  (+)
AND PROJ_D.DATASOURCE_NUM_ID = ORG_DH.DATASOURCE_NUM_ID (+)
AND (NVL(FS.CHANGE_HEADER_ID,FS.BUDGET_HEADER_ID) = (substr(BUD_WID.PROJECt_NUMBER(+),1,6)||'.'||BUD_WID.TASK_ID(+))  )
AND FS.PROJECT_NUMBER = BUD_WID.PROJECT_NUMBER  (+)
AND FS.WORKFLOW_INSTANCE_ID = BUD_WID.WORKFLOW_INSTANCE_ID  (+)
AND FS.PROJECT_NUMBER = COBS.PROJECT_NUMBER (+) 
AND FS.PATH_ID = COBS.PATH_ID (+) 
AND FS.PROJECT_PERIOD = COBS.PROJECT_PERIOD (+) 
AND FS.WORKFLOW_INSTANCE_ID = COBS.WORKFLOW_INSTANCE_ID (+)
--AND FS.WORKFLOW_INSTANCE_ID = COMP_AGG.WORKFLOW_INSTANCE_ID 
--AND FS.DATASOURCE_NUM_ID = COMP_AGG.DATASOURCE_NUM_ID
--and FS.PROJECT_NUMBER = COMP_AGG.PROJECT_NUMBER"
SQL_1d86e5c416c0d650,AST_56d3aa51e47b2893,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,TRANSFORMATION,SQ_WC_PBCS_BUDGET_ACTUALS_FS,"select  /*+ PARALLEL(WC_PBCS_BUDGET_ACTUALS_FS,9,DEFAULT) */
distinct FS.PERIOD, 
FS.LEGAL_ENTITY, 
FS.PERFORMANCE_UNIT,
FS.CURRENCY,
FS.ACCOUNT,
FS.AUDITTRAIL,
FS.PLAN AS PLAN,
FS.ACTUALS as ACTUALS,
0 AS BUDGET_BILL_HRS ,
0 As ACTUALS_BILL_HRS ,

NVL(MP.ROW_WID, 0) AS GL_PERIOD_WID,
NVL(AC.ROW_WID, 0) AS GL_ACCOUNT_WID,
NVL(BU.ROW_WID, 0) AS PU_WID,
NVL(EX.ROW_WID, 0) AS PLAN_FX_RATE_WID,
'N' AS PER_HOUR_METRIC_FLG
FROM
(select * from WC_PBCS_BUDGET_ACTUALS_FS
pivot (sum(amount) for scenario in ( 'Plan' as PLAN , 'Actual' as ACTUALS)
))FS,
W_MCAL_PERIOD_D MP,
WC_ACCOUNT_DH AC,
WC_BU_ORG_DH BU,
WC_PBCS_PLAN_EX_RATE_D EX

WHERE FS.PERIOD = MP.MCAL_PERIOD_NAME(+)

AND FS.ACCOUNT = AC.ACCOUNT_NUM(+)

AND FS.PERFORMANCE_UNIT = BU.PU(+)

AND SUBSTR(FS.CURRENCY, 1, 3) = EX.CURRENCY(+)
AND EX.FX_RATE_TYPE(+) = 'FX Rates - Average'
AND FS.PERIOD = EX.PERIOD(+)

UNION

Select * from (
WITH 
BILL AS (
select * from (select  PERIOD, LEGAL_ENTITY, PERFORMANCE_UNIT, CURRENCY, FST.ACCOUNT, AUDITTRAIL,SCENARIO, AMOUNT 
from WC_PBCS_BUDGET_ACTUALS_BH_FS CROSS JOIN (select distinct account FROM  WC_PBCS_BUDGET_ACTUALS_PH_FS) FST ) 
PIVOT (SUM(AMOUNT) FOR SCENARIO IN ( 'Plan' AS PLAN , 'Actual' AS ACTUALS ))
)  ,
FS AS (
select * from (select  PERIOD, LEGAL_ENTITY, PERFORMANCE_UNIT, CURRENCY, ACCOUNT, AUDITTRAIL,SCENARIO, AMOUNT from WC_PBCS_BUDGET_ACTUALS_PH_FS) PIVOT (SUM(AMOUNT) FOR SCENARIO IN ( 'Plan' AS PLAN , 'Actual' AS ACTUALS ))
) 
select /*+ PARALLEL(WC_PBCS_BUDGET_ACTUALS_PH_FS, 9,DEFAULT)  PARALLEL(WC_PBCS_BUDGET_ACTUALS_BH_FS,9,DEFAULT)*/
 NVL(BILL.PERIOD,FS.PERIOD) PERIOD, 
NVL(BILL.LEGAL_ENTITY,FS.LEGAL_ENTITY) LEGAL_ENTITY, 
NVL(BILL.PERFORMANCE_UNIT,FS.PERFORMANCE_UNIT) PERFORMANCE_UNIT,
NVL(BILL.CURRENCY,FS.CURRENCY) CURRENCY,
NVL(BILL.ACCOUNT,FS.ACCOUNT) ACCOUNT,
NVL(BILL.AUDITTRAIL,FS.AUDITTRAIL) AUDITTRAIL,
NVL(FS.PLAN,0)  AS PLAN,
NVL(FS.ACTUALS,0)  AS ACTUALS,
NVL(BILL.PLAN,0) AS BUDGET_BILL_HRS ,
NVL(BILL.ACTUALS,0) AS ACTUALS_BILL_HRS ,
NVL(MP.ROW_WID, 0) AS GL_PERIOD_WID,
NVL(AC.ROW_WID, 0) AS GL_ACCOUNT_WID,
NVL(BU.ROW_WID, 0) AS PU_WID,
NVL(EX.ROW_WID, 0) AS PLAN_FX_RATE_WID,
'Y' AS PER_HOUR_METRIC_FLG
from BILL FULL OUTER JOIN FS
ON  FS.PERFORMANCE_UNIT=BILL.PERFORMANCE_UNIT AND FS.ACCOUNT=BILL.ACCOUNT 
AND FS.AUDITTRAIL=BILL.AUDITTRAIL AND FS.PERIOD=BILL.PERIOD AND FS.CURRENCY=BILL.CURRENCY
AND FS.LEGAL_ENTITY=BILL.LEGAL_ENTITY 
LEFT JOIN WC_ACCOUNT_DH AC ON  AC.ACCOUNT_NUM=NVL(BILL.ACCOUNT, FS.ACCOUNT)
LEFT OUTER JOIN WC_BU_ORG_DH BU ON BU.PU=NVL(BILL.PERFORMANCE_UNIT, FS.PERFORMANCE_UNIT)
LEFT JOIN WC_PBCS_PLAN_EX_RATE_D EX on EX.CURRENCY=NVL(SUBSTR(BILL.CURRENCY, 1, 3) ,SUBSTR(FS.CURRENCY, 1, 3) ) 
AND EX.FX_RATE_TYPE = 'FX Rates - Average'
AND EX.PERIOD=NVL(BILL.PERIOD,Fs.PERIOD) 
 LEFT JOIN W_MCAL_PERIOD_D MP ON  MP.MCAL_PERIOD_NAME=NVL(BILL.PERIOD,FS.PERIOD) 
 WHERE 1=1)"
