transformation_id,mapping_id,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
AST_b5aa2d4f0de53576,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,SQ_BI_TimephasedData_Budget,Source Qualifier,NO,11,20
AST_748a92250057819c,AST_985e13f7f80a13dd,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,Expression,NO,1,21
AST_3f870bdf4995dade,AST_9a7117b3cab6de96,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,Expression,NO,1,10
AST_35393b360e1acc6d,AST_9a7117b3cab6de96,JEG_SDE_ORA_PBCS_Actual_Proforma,SQ_WC_PBCS_EXEC_ACTUALS_P_FS,Source Qualifier,NO,11,10
AST_4c7dd8606c82d87e,AST_d6e4591fa357acf8,JEG_SDE_ORA_PBCS_Actual_SM,EXPTRANS,Expression,NO,1,10
AST_dca3a8828aa63ac6,AST_d6e4591fa357acf8,JEG_SDE_ORA_PBCS_Actual_SM,SQ_WC_PBCS_EXEC_ACTUALS_SM_FS,Source Qualifier,NO,11,10
AST_e43afa6317c155b8,AST_9373b4f41bdebd10,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,SQ_WC_PBCS_ACTUALS_P_FS,Source Qualifier,NO,11,8
AST_dbf2338fff488305,AST_9373b4f41bdebd10,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,EXPTRANS,Expression,NO,1,8
AST_9dfdc90f6b6c6d74,AST_8291d36b670fc956,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,SQ_ProjectReview_Submitted,Source Qualifier,NO,11,133
AST_0ae639d0b46e028d,AST_8291d36b670fc956,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,EXPTRANS,Expression,NO,1,133
AST_bb5d57a92d8e9cc5,AST_4119cec087cd3f77,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,UPDTRANS,Update Strategy,NO,3,39
