xml_name,mapping_name,complexity_category,complexity_score,readiness_before,readiness_after,readiness_improvement,risk_category,risk_score,validation_failed,auto_fixed,remaining_issues,manual_review,manual_remediation,auto_fix_success_rate,migration_status
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,Medium,40,0,0,0.0,CRITICAL,467,75,70,34,0,0,93.33,HIGH_RISK
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,JEG_SDE_ORA_PBCS_Actual_Proforma,Medium,40,0,0,0.0,CRITICAL,353,45,35,40,0,0,77.78,HIGH_RISK
JEG_SDE_ORA_PBCS_Actual_SM.XML,JEG_SDE_ORA_PBCS_Actual_SM,Simple,20,0,34,34.0,CRITICAL,118,17,8,11,0,0,47.06,HIGH_RISK
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,Medium,40,0,29,29.0,CRITICAL,118,24,22,8,0,0,91.67,HIGH_RISK
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,Simple,20,0,0,0.0,CRITICAL,4728,710,596,264,0,0,83.94,HIGH_RISK
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,Complex,100,0,0,0.0,CRITICAL,338,240,217,28,0,1,90.42,HIGH_RISK
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,Medium,40,0,0,0.0,CRITICAL,206,50,37,16,0,0,74.0,HIGH_RISK
SDE_EmployeeHeadCount.XML,JEG_SDE_ORA_TRUNCATE_DIM,Medium,31,82,100,18.0,LOW,0,3,3,0,0,0,100.0,READY
SDE_EmployeeHeadCount.XML,SDE_EmployeeHeadCount1,Complex,95,0,100,100.0,LOW,0,134,106,0,0,1,79.1,READY
SDE_EmployeeHeadCount.XML,SDE_EmployeeHeadCount2,Complex,95,0,0,0.0,CRITICAL,962,145,118,71,0,1,81.38,HIGH_RISK
SDE_ORA_EmployeeDimension.XML,SDE_ORA_EmployeeDimension,Medium,45,0,0,0.0,CRITICAL,451,38,25,27,0,1,65.79,HIGH_RISK
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_ProjectCostLineFact_Elim,Medium,45,0,100,100.0,LOW,0,22,14,0,0,1,63.64,READY
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,Medium,45,100,100,0.0,LOW,0,2,0,0,0,1,0.0,READY
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_ProjectCostLineFact_IC,Medium,45,100,100,0.0,LOW,0,2,0,0,0,1,0.0,READY
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,Medium,45,100,100,0.0,LOW,0,2,0,0,0,1,0.0,READY
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_ProjectCostLineFact_NL,Medium,45,100,100,0.0,LOW,0,2,0,0,0,1,0.0,READY
SDE_ORA_ProjectCostLine.XML,JEG_SDE_ORA_TRUNCATE_DIM,Medium,31,82,100,18.0,LOW,0,3,3,0,0,0,100.0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLineFact,Medium,45,0,100,100.0,LOW,0,86,43,0,0,1,50.0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLineFact_PCC,Medium,45,0,0,0.0,CRITICAL,1482,18,5,104,0,1,27.78,HIGH_RISK
SIL_EmployeeDimension.XML,SIL_EmployeeDimension,Complex,100,0,0,0.0,CRITICAL,293,226,212,20,0,1,93.81,HIGH_RISK
SIL_EmployeeDimension_SCDUpdate.XML,SIL_EmployeeDimension_SCDUpdate,Medium,65,0,19,19.0,CRITICAL,143,47,40,10,0,0,85.11,HIGH_RISK
SIL_EmployeeHeadCount.XML,SIL_EmployeeHeadCount,Complex,100,0,0,0.0,CRITICAL,937,286,238,74,0,1,83.22,HIGH_RISK
SIL_ProjectCostLine_Fact.XML,SIL_ProjectCostLine_Fact,Complex,100,0,0,0.0,CRITICAL,743,152,128,52,0,1,84.21,HIGH_RISK
