xml_name,workflow,session,mapping,source_count,target_count,transformation_count,lookup_count,joiner_count,aggregator_count,router_count,sql_override_count,complexity_score,complexity_category,validation_issues,validation_passed,validation_failed,auto_fixed,remaining_issues,manual_review,manual_remediation,readiness_before,readiness_after,readiness_category,risk_score,risk_category,top_risk_factor,auto_fix_success_rate,blocking_issues,migration_status
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,1,1,2,0,0,0,0,1,40,Medium,75,0,75,70,34,0,0,0,0,HIGH RISK,467,CRITICAL,truncation_risk,93.33,34,HIGH_RISK
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,JEG_SDE_ORA_PBCS_Actual_Proforma,JEG_SDE_ORA_PBCS_Actual_Proforma,JEG_SDE_ORA_PBCS_Actual_Proforma,1,1,2,0,0,0,0,1,40,Medium,45,0,45,35,40,0,0,0,0,HIGH RISK,353,CRITICAL,missing_connection,77.78,40,HIGH_RISK
JEG_SDE_ORA_PBCS_Actual_SM.XML,JEG_SDE_ORA_PBCS_Actual_SM,JEG_SDE_ORA_PBCS_Actual_SM,JEG_SDE_ORA_PBCS_Actual_SM,1,1,2,0,0,0,0,0,20,Simple,17,23,17,8,11,0,0,0,34,HIGH RISK,118,CRITICAL,missing_connection,47.06,11,HIGH_RISK
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,2,1,2,0,0,0,0,1,40,Medium,24,16,24,22,8,0,0,0,29,HIGH RISK,118,CRITICAL,truncation_risk,91.67,8,HIGH_RISK
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,1,1,2,0,0,0,0,0,20,Simple,710,0,710,596,264,0,0,0,0,HIGH RISK,4728,CRITICAL,truncation_risk,83.94,264,HIGH_RISK
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,JEG_SIL_IPCS_BITimephaseDataBudgetFact,JEG_SIL_IPCS_BITimephaseDataBudgetFact,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,1,1,6,1,0,0,0,1,100,Complex,240,0,240,217,28,0,1,0,0,HIGH RISK,338,CRITICAL,truncation_risk,90.42,28,HIGH_RISK
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,2,1,2,0,0,0,0,1,40,Medium,50,0,50,37,16,0,0,0,0,HIGH RISK,206,CRITICAL,truncation_risk,74.0,16,HIGH_RISK
SDE_EmployeeHeadCount.XML,SDE_EmployeeHeadCount,JEG_SDE_ORA_TRUNCATE_DIM_HR,JEG_SDE_ORA_TRUNCATE_DIM,1,1,1,0,0,0,0,1,31,Medium,3,37,3,3,0,0,0,82,100,READY,0,LOW,none,100.0,0,READY
SDE_EmployeeHeadCount.XML,SDE_EmployeeHeadCount,SDE_EmployeeHeadCount1,SDE_EmployeeHeadCount1,1,1,22,18,0,0,0,1,95,Complex,134,0,134,106,0,0,1,0,100,READY,0,LOW,none,79.1,0,READY
SDE_EmployeeHeadCount.XML,SDE_EmployeeHeadCount,SDE_EmployeeHeadCount2,SDE_EmployeeHeadCount2,1,1,20,15,0,0,0,1,95,Complex,145,0,145,118,71,0,1,0,0,HIGH RISK,962,CRITICAL,truncation_risk,81.38,71,HIGH_RISK
SDE_ORA_EmployeeDimension.XML,SDE_ORA_EmployeeDimension,SDE_ORA_EmployeeDimension,SDE_ORA_EmployeeDimension,0,1,2,0,0,0,0,0,45,Medium,38,2,38,25,27,0,1,0,0,HIGH RISK,451,CRITICAL,truncation_risk,65.79,27,HIGH_RISK
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_ProjectCostLine_Elim_mv1,JEG_SDE_ORA_ProjectCostLineFact_Elim,0,1,2,0,0,0,0,0,45,Medium,22,18,22,14,0,0,1,0,100,READY,0,LOW,none,63.64,0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,JEG_SDE_ORA_ProjectCostLineFact_Elim_Hub,0,1,2,0,0,0,0,0,45,Medium,2,38,2,0,0,0,1,100,100,READY,0,LOW,none,0.0,0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_ProjectCostLine_IC_mv,JEG_SDE_ORA_ProjectCostLineFact_IC,0,1,2,0,0,0,0,0,45,Medium,2,38,2,0,0,0,1,100,100,READY,0,LOW,none,0.0,0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,JEG_SDE_ORA_ProjectCostLineFact_IC_HUB,0,1,2,0,0,0,0,0,45,Medium,2,38,2,0,0,0,1,100,100,READY,0,LOW,none,0.0,0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_ProjectCostLine_nl_mv,JEG_SDE_ORA_ProjectCostLineFact_NL,0,1,2,0,0,0,0,0,45,Medium,2,38,2,0,0,0,1,100,100,READY,0,LOW,none,0.0,0,READY
SDE_ORA_ProjectCostLine.XML,SDE_ORA_ProjectCostLine,JEG_SDE_ORA_TRUNCATE_DIM_HR,JEG_SDE_ORA_TRUNCATE_DIM,1,1,1,0,0,0,0,1,31,Medium,3,37,3,3,0,0,0,82,100,READY,0,LOW,none,100.0,0,READY
