column_name,datatype,file_name,folder_name,precision,repository_name,scale,source_name
EcoSysTimephasedBudgetId,int,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
ProjectNumber,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
ProjectPeriod,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
WorkflowInstanceId,int,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
BudgetHeaderId,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
ChangeHeaderId,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
CostAccountField,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
PathId,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
MinorPeriod,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
JacobsCost,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,15,BIINFAPROD_FLEX,2,BI_TimephasedData_Budget
ClientCost,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,15,BIINFAPROD_FLEX,2,BI_TimephasedData_Budget
JacobsHours,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,13,BIINFAPROD_FLEX,2,BI_TimephasedData_Budget
ClientHours,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,13,BIINFAPROD_FLEX,2,BI_TimephasedData_Budget
Currency,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
gidquantity,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,10,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
GDCName,varchar,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,100,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
GIDCBDirectCost,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,13,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
GIDCBAtBillRevenue,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,13,BIINFAPROD_FLEX,0,BI_TimephasedData_Budget
GIDBillableHours,decimal,JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,Custom_SDE_ORAR1213_Adaptor,13,BIINFAPROD_FLEX,2,BI_TimephasedData_Budget
ACCOUNT,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
ENTITY,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
AUDITTRAIL,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
CURRENCY,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
PU,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
PROJECT,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
SCENARIO,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
VERSION,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
YEAR,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
PERIOD,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
AMOUNT,varchar2,JEG_SDE_ORA_PBCS_Actual_Proforma.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_P_FS
ACCOUNT,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
ENTITY,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
AUDITTRAIL,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
CURRENCY,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
PU,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
PROJECT,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
SCENARIO,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
VERSION,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
YEAR,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
PERIOD,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
AMOUNT,varchar2,JEG_SDE_ORA_PBCS_Actual_SM.XML,Custom_SDE_PBCS,30,BIINFAPROD_FLEX,0,WC_PBCS_EXEC_ACTUALS_SM_FS
ROW_WID,number,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,15,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
LVL_NUM,number,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,15,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
SUMMARY_FLAG,nchar,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,1,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
AC_FLAG,nchar,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,1,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,150,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
ACCOUNT_DESC,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,240,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
PAR_ACCOUNT_NUM,nvarchar2,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,Custom_SDE_PBCS,60,BIINFAPROD_FLEX,0,WC_ACCOUNT_DH
