file_name,repository_name,folder_name,target_name,column_name,datatype,precision,scale
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,ECOSYS_TIMEPHASED_BUDGETID,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,PROJECT_NUMBER,varchar2,10,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,PROJECT_PERIOD,varchar2,10,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,WORKFLOW_INSTANCE_ID,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,BUDGET_HEADER_ID,varchar2,100,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,CHANGE_HEADER_ID,varchar2,100,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,COST_ACCOUNT_FIELD,varchar2,100,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,PATH_ID,varchar2,100,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,MINOR_PERIOD,varchar2,10,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,JACOBS_COST,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,CLIENT_COST,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,JACOBS_HOURS,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,CLIENT_HOURS,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,CURRENCY,varchar2,10,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,AUX1_CHANGED_ON_DT,date,19,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,AUX2_CHANGED_ON_DT,date,19,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,AUX3_CHANGED_ON_DT,date,19,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,AUX4_CHANGED_ON_DT,date,19,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,DATASOURCE_NUM_ID,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,INTEGRATION_ID,varchar2,80,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,TENANT_ID,varchar2,80,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_EAC_HOURS,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,GDCName,varchar2,100,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_CB_FUNC_DIRECTCOST,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_CB_FUNC_ATBILLREVENUE,number,15,0
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_BILLABLE_HOURS,"number(p,s)",13,2
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,SCENARIO,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,YEAR,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,PERIOD,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,LEGAL_ENTITY,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,PERFORMANCE_UNIT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,CURRENCY,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,ACCOUNT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,PROJECT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,AUDITTRAIL,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_P_FS,AMOUNT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,SCENARIO,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,YEAR,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,PERIOD,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,LEGAL_ENTITY,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,PERFORMANCE_UNIT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,CURRENCY,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,ACCOUNT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,PROJECT,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,AUDITTRAIL,nvarchar2,30,0
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_ACTUALS_MS_FS,AMOUNT,nvarchar2,30,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,SCENARIO,nvarchar2,30,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,PERIOD,nvarchar2,147,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,LEGAL_ENTITY,nvarchar2,30,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,PERFORMANCE_UNIT,nvarchar2,108,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,CURRENCY,nvarchar2,30,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,ACCOUNT,nvarchar2,108,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,AUDITTRAIL,nvarchar2,30,0
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,WC_PBCS_BUDGET_ACTUALS_FS,AMOUNT,number,15,0
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,PROJECTNUMBER,varchar2,100,0
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,MANUALLYESCALATEPAR_FLG,varchar2,1,0
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,REQUIREDINMONTH_FLG,varchar2,1,0
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,SUBMITTEDBYUPN,varchar2,300,0
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,SUBMITTEDDATE,timestamp,26,6
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,WC_BI_POL_PROJ_REV_SUB_DS,FORECASTREVISIONNAME,varchar2,30,0
